abnormalsecurity,Abnormal Security
acquia,Acquia
addepar1,Addepar
aerospike,Aerospike
aetion,Aetion
affirm,Affirm
alchemy,Alchemy
ampleinc,Ample
appliedintuition,Applied Intution
arizeai,Arize AI
atomicjar,AtomicJar
bcgdv,BCG Digital Ventures
bluecoreinc,Blue Core
brave,Brave
c3ai,C3 AI
carrotfertility,Carrot Fertility
clarifai,Clarifai
creatoriq,CreatorIQ
dustyrobotics,Dusty Robotics
dreamboxlearning,DreamBox Learning
electrichydrogen,Electric Hydrogen
fathom,Fathom
filescom,Files.com
flockhomes,Flock Homes
flocksafety,Flock Safety
fluxai,Flux
gamechanger,GameChanger
giantmachines,Giant Machines
golinks,GoLinks
grammarly,Grammarly
greenhouse,Greenhouse
hatchcareers,Hatch
hover,HOVER
hubspot,HubSpot
imprint,Imprint
irhythm,iRhythm
janushealth,Janus Health
jellyfish,Jellyfish
journera,Journera
kentik,Kentik
komodohealth,Komodo Health
leaflink,LeafLink
level,Level
liveperson,LivePerson
loyal,Loyal Health
mercury,Mercury
meter,Meter
myplanadvocate,MyPlanAdvocate
nextdoor,Nextdoor
nexttrucking,NEXT Trucking
northspyre,Northspyre
notion,Notion
openai,Open AI
optoinvest,Opto
oscar,Oscar Health
okta,Okta
otter,Otter
paretocaptiveservicesllc,ParetoHealth
pathrobotics,Path Robotics
patreon,Patreon
pw,Perchwell
phaidra,Phaidra
platformscience,Platform Science
populus,Populus
protocollabs,Protocol Labs
pulumicorporation,Pulumi
purestorage,Pure Storage
pythnetwork,Pyth
quiknodeinc,QuickNode
raft,Raft
revel,Revel
rhino,Rhino
runzero,runZero
saturn,Saturn
scytherobotics,Scythe Robotics
seatgeek,SeatGeek
sentry,Sentry
sezzle,Sezzle
skydio,Skydio
snowflakecomputing,Snowflake
splice,Splice
squarespace,Squarespace
stairwell,Stariwell
steelperlotmanagementllc,Steel Perlot
storable,Storable
supernaturalstudios,SuperNatural Studios
swiftnavigation,Swift Navigation
tempus,Tempus
thatgamecompany,thatgamecompany
trepp,Trepp
trufflesecurity,Truffle Security
valon,Valon
viamrobotics,Viam
videoamp,VideoAmp
watershed,Watershed
webstacks,Webstacks
yext,Yexy
zoba,Zoba
zora,ZORA
