anduril,Anduril Industries
AngleHealth,Angle Health
anyscale,Anyscale
ascend.io,Ascend.io
?asics?,Asics
atlassian,Atlassian
aurorasolar,Aurora Solar
automox,Automox
axoni,Axoni
?belvedereTrading?,Belvedere Trading
bluebottlecoffee,Blue Bottle Coffee
bodyport,Bodyport
boomandbucket,Boom & Bucket
?butcherbox?,Butcher Box
?captiv8?,Captiv8
cellares,Cellares
cohere,Cohere
confluent,Confluent
credinvestments,CRED Investments
eargo,Eargo
facta,Facta
goforward,Forward
front,Front
getlabs,Getlabs
gopuff,Gopuff
?greenthumbindustries?,Green Thumb industr.
hihello,HiHello
hive,Hive
learnwithjuni,Juni Learning
leolabs-2,LeoLabs
logrocket,LogRocket
MachinaLabs,Machina Labs
nava,Nava
neeva,Neeva
netflix,Netflix
nexient,Nexient
observeinc,Observe
openbb,OpenBB
OpenSea,OpenSea
orum,Orum
ottertune,OtterTune
?perpay?,Perpay
picktrace,PickTrace
plaid,Plaid
Pomelo,Pomelo
roboflow,Roboflow
secureframe,secureframe
Sherpa,Sherpa
sporty,Sporty Group
spotify ,Spotify
starburst,Starburst
sure,Sure
talyn,Talyn Air
tegus,Tegus
terminus,Terminus
translifeline,TransLifeline
torch,Torch
Up&Up,Up&Up
veeva,Veeva
xage-security,Xage Security
yugabyte,YugabyteDB
zoox,Zoox
