,Job_Title,Company,Link,Description,Date Posted,Country,State,City,Zip,Remote
0,Junior Software Engineer,Lincoln Financial Group,https://www.dice.com/jobs/detail/Junior-Software-Engineer-Lincoln-Financial-Group-Radnor-PA-19087/RTX19a57a/QVt6AjfOeLEc,"
Alternate Locations: Work from HomeWork Arrangement: Work from HomeRelocation assistance:: is not available for this opportunity.Pay Range: $63,100 - $95,000 Bonus Potential: Requisition #: 71024The Role at a Glance Our Life IT team is adding on an Associate ETL Developer to support our growing Data Analytics team. This position will perform and deliver on routine assignments/projects while simultaneously leveraging and applying knowledge of your assigned area(s) of application development responsibility. In this role you will develop innovative business solutions by creating new applications, modifying existing applications and providing post production support. You will also deliver business application software solutions following the system development life cycle process. What you'll be doing  Participates in analysis, design, and ETL development as part of Agile / Scrum Develop Team Understands data mapping and data modeling methodologies including normal form, star, and snowflake to reduce data redundancy and improve data integrity. Performs technical tasks including estimating, analysis, technical requirements, design, construction and unit & integration testing following SDLC. Maintains knowledge on current and emerging developments/trends for assigned area(s) of responsibility, assesses the impact, and collaborates with Scrum Team and Leadership to incorporate new trends and developments in current and future solutions Participates and enhances organizational initiatives by positively influencing and supporting change management and/or departmental/enterprise initiatives within assigned area(s) of responsibility   What we're looking for Must Haves:  1+ Years experience in application development that directly aligns with the specific responsibilities for this position  4 year/Bachelor's degree or equivalent work experience (4 years experience in lieu of Bachelors) Experience developing data movement and engineering applications and worked on integrating disparate systems using ETL following SDLC and/or Agile methodologies Experience writing Unix/Linux or Windows Scripts in tools such as Python, PERL, Shell script,  etc. Experience working on Elastic Map Reduce using AWS Cloud services to process large data workloads Experience in scheduling jobs using Autosys (or comparable distributed scheduler), building and maintaining Dev/Ops CICD pipelines Knowledge of Big Data Management Solutions (AWS Glue/Python and/or Informatica) on AWS Cloud Big Data - NO SQL Modeling, Hive, HBase, Pig, Cassandra, MongoDB, Redshift utilizing AWS Services and integrating data on cloud is a plus  Nice-to-haves:  AWS Certifications (Developer or Data Analytics) a plus Degree in Computer Science, Computer Information Systems, Information Technology or Computer Engineering strongly preferred  #DICE What's it like to work here?At Lincoln Financial Group, we love what we do. We make meaningful contributions each and every day to empower our customers to take charge of their lives. Working alongside dedicated and talented colleagues, we build fulfilling careers and stronger communities through a company that values our unique perspectives, insights and contributions and invests in programs that empower each of us to take charge of our own future.What's in it for YOU:  A clearly defined career framework to help you successfully manage your career  Leadership development and virtual training opportunities  PTO/parental leave   Competitive 401K and employee benefits   Free financial counseling, health coaching and employee assistance program  Tuition assistance program  A leadership team that prioritizes your health and well-being; offering a remote work environment and flexible work hybrid situations  Effective productivity/technology tools and training   Work ArrangementWork from Home : Employees will work from home and are not required to work in a Lincoln office on a regular basis.Lincoln will evaluate the following when setting the successful candidate's wage rate: •   Prior work or industry experience. •   Education level to the extent education is relevant to the position. •   Unique skillsAbout The CompanyLincoln Financial Group, a Fortune 200 company with over 10,000 employees, provides advice and solutions that help empower Americans to take charge of their financial lives with confidence. Our core business areas - Life Insurance, Annuities, Retirement Plan Services and Group Protection - focus on supporting, preserving and enhancing over 17 million customer's lifestyles and retirement outcomes.Headquartered in Radnor, Pennsylvania, Lincoln Financial Group is the marketing name for Lincoln National Corporation (NYSE: LNC) and its affiliates. The company had $324 billion in end-of-period account values as of June 30, 2021.Ranked one of the Best Large Employers in America and Best Employers for Women by Forbes magazine as well as one of Newsweek's Most Responsible Companies, Lincoln Financial Group makes a serious investment in our employees' futures through a broad range of wealth accumulation and protection plans, health and wellness programs, and career development resources designed to help each individual reach their personal and professional goals.Lincoln is committed to creating a  diverse and inclusive  environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Lincoln Financial Group is a committed corporate citizen included on major sustainability indices including the Dow Jones Sustainability Index North America and FTSE4Good. Dedicated to diversity and inclusion, we earned perfect 100 percent scores on the Corporate Equality Index and the Disability Equality Index. Follow us on Facebook , Twitter , LinkedIn , and Instagram . Sign up for email alerts at Be Aware of Fraudulent Recruiting ActivitiesIf you are interested in a career at Lincoln, we encourage you to review our current openings and apply on our website. Lincoln values the privacy and security of every applicant and urges all applicants to diligently protect their sensitive personal information from scams targeting job seekers. These scams can take many forms including fake employment applications, bogus interviews and falsified offer letters.Lincoln will not ask applicants to provide their social security numbers, date of birth, bank account information or other sensitive information in job applications. Additionally, our recruiters do not communicate with applicants through free e-mail accounts (Gmail, Yahoo, Hotmail) or conduct interviews utilizing video chat rooms. We will never ask applicants to provide payment during the hiring process or extend an offer without conducting a phone, live video or in-person interview.  Please contact Lincoln's fraud team at  if you encounter a recruiter or see a job opportunity that seems suspicious.Additional InformationThis position may be subject to Lincoln's Political Contribution Policy.  An offer of employment may be contingent upon disclosing to Lincoln the details of certain political contributions. Lincoln may decline to extend an offer or terminate employment for this role if it determines political contributions made could have an adverse impact on Lincoln's current or future business interests, misrepresentations were made, or for failure to fully disclose applicable political contributions and or fundraising activities.Any unsolicited resumes/candidate profiles submitted through our web site or to personal e-mail accounts of employees of Lincoln Financial Group are considered property of Lincoln Financial Group and are not subject to payment of agency fees.Lincoln Financial Group (""LFG"") is an Equal Opportunity employer and, as such, is committed in policy and practice to recruit, hire, compensate, train and promote, in all job classifications, without regard to race, color, religion, sex (including pregnancy), age, national origin, disability, sexual orientation, gender identity and expression, Veteran status, or genetic information. Applicants are evaluated on the basis of job qualifications.  If you are a person with a disability that impedes your ability to express your interest for a position through our online application process, or require TTY/TDD assistance, contact us by callingThis Employer Participates in E-Verify. See the E-Verify notices.Este Empleador Participa en E-Verify. Ver el E-Verify avisos.
		",2023-02-02T23:26:03Z,['US'],['PA'],['Radnor'],['19087'],false
1,Jr Software Developer,Honu Services,https://www.dice.com/jobs/detail/Jr-Software-Developer-Honu-Services---/91008521/32325245%26%2345603,"Location: Nationwide with preference for DC metro area. Remote work may be available.  Job Summary:  Apply knowledge of computer concepts and techniques to develop and configure systems for engineering, scientific, or business data acquisition and management problems. Uses scientific and engineering logic to independently identify conceptual or theoretical solutions to problems of software design and operation.  Key Responsibilities: Design, development, maintenance, configuration, troubleshooting, and documentation of cloud-based systemsWrite code querying relational databases, tabular excel data, and CSV dataBuild interfaces to back-end APIs, analytical services, and process large volumes of dataAnalyze requirements and designParticipate in peer code reviews and technical meetingsDevelop proofs of concept for new solutions and technologiesPerform analysis of alternatives for software selectionDevelop in a variety of technologies:ASP.NET Core C#Azure SQLAzure App ServiceAzure Data FactoryPower AutomateMicrosoft PowerBIJavaScriptTableau and Qlik  Qualifications: A degree in Computer Science or related field or work experience providing knowledge of designing and developing web-based software applications.Coursework of experience developing data driven web applications using relational database backends, designing relational data models, using version control systems, GIT preferredSecurity+ Certification(Can be obtained after being hired)Benefits: Employer Paid Medical InsuranceDental and Vision Insurance401kPTOTuition ReimbursementPhysical Requirements:  Work may involve sitting or standing for extended periods of time. Position may require typing and reading from a computer screen. Must have sufficient mobility, including but not limited to bending, reaching, and kneeling to complete daily duties in a timely and efficient manner. There is a possibility that due to parking availability and location of work, walking moderate to long distance may be required. Possible lifting up to 25 lbs.  Please note: 4S-Silversword Software and Services LLC reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing. Positions functions and qualifications may vary depending on business needs. 4S-Silversword Software and Services LLC is an equal opportunity employer and does not discriminate against applicants based on race, color, creed, religion, medical condition, legally protected genetic information, national origin, sex (including pregnancy, childbirth or related medical condition), sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status or legally protected characteristics.     Report this jobDice Id: 91008521Position Id: 32325245-603",2023-03-19T12:13:16.000Z,,,,,True
2,"Jr. Application Developer (SQL,...",Randstad Technologies,https://www.dice.com/jobs/detail/Jr.-Application-Developer-%28SQL%2C-Java%2C-JavaScript%29-Randstad-Technologies-Atlanta-GA-30313/cxsapwma1/999913,"job summary:As a Jr. Application Developer, you will be in a dynamic position that helps develop, improve, and support the general upkeep of the system. This may include work on key projects for UI development and functionality improvement, support for back-end implementations, system changes for clients, and much more.The successful candidate will be trained to work with our proprietary software working directly with the Chief Architect and will have significant strategic and creative input on how we to take our technology to the future.This position will require 1-2 days of onsite work each week in downtown Atlanta, therefore applicants should be local to the Atlanta area, or willing to relocate upon acceptance of an offer.Qualifications:Application development experience which includes the programming/ development of web applications using Java, Spring, Spring MVC, Hibernate, JPA, Maven, rules enginesBachelor's degree in Computer Science or equivalentExperience integrating applications and designing and developing web services and frameworks. Extensive front and back end experience requiredOutstanding oral and written communication skillsExperience working directly with end users to understand and translate requirements to designDemonstrated ability to evaluate new and emerging technologies and vendor products and to constructively apply them to meet identified business and technology goalsAbility to work in a collaborative/team environmentDemonstrated ability to think strategically and realize those strategies in application designAbility to diagnose critical problems and develop solutionsAbility to take part in production support and lead troubleshooting calls as neededUnderstanding and experience with SQL/Stored ProcedureUnderstanding and experience with test-driven developmentUnderstanding of Java, HTML, CSS, and JavaScriptRelational databases - preferably SQL ServerKnowledge of Versata would be a plusKnowledge of Amazon Web Services (AWS) would be a plus. location: Atlanta, Georgiajob type: Contractsalary: $35 - 40  per hourwork hours: 8am to 4pmeducation: Bachelors responsibilities:Identify and present solutions that promote our valuesAnalysis, design and code in Java, SQL, Spring MVC, HTML, CSS, and JavaScriptSupport of Servers and Services being used in Amazon Web Services (AWS).Production support and lead troubleshooting as neededSQL Server DBA functionsSupport account services team (software helpdesk team) on resolving escalated technical issuesQuality assurance of softwareSystem customization for new and existing installations qualifications:Experience level: ExperiencedMinimum 3 years of experienceEducation: Bachelors skills: JavaSpring MVCAWS Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Randstad, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.  Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc.  In addition, Randstad offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).   For certain assignments, Covid-19 vaccination and/or testing may be required by Randstad's client or applicable federal mandate, subject to approved medical or religious accommodations. Carefully review the job posting for details on vaccine/testing requirements or ask your Randstad representative for more information.     Report this jobDice Id: cxsapwma1Position Id: 999913",2023-03-14T16:20:51.000Z,Atlanta,GA,Atlanta,30313,False
3,Jr. Software Developer,"OST, Inc.",https://www.dice.com/jobs/detail/Jr.-Software-Developer-OST%2C-Inc.---/OSTDC/7809677,"Description of specific duties in a typical workday for this position: The position requires specialized skill and technical knowledge in PeopleSoft architecture, development tools and applications. PeopleSoft developers are responsible for system modifications, the creation and maintenance of interface programs, and the support of daily processing.The position will provide surge support to complete the development of PeopleSoft HCM 9.2 upgrade. This includes retrofitting customizations into upgraded 9.2 HCM systems, researching new 9.2 functionality and updating documentation. Responsibilities may also include maintenance of the existing PeopleSoft 9.1 HCM systems as well as the delivery of new functionality, with development activities being performed within the PeopleSoft user interface, underlying Oracle database, reporting tools, and data interfaces with external systems. Duties may include, but are not limited to, the following:·Design and develop modifications to PeopleSoft HCM 9.1 and 9.2 software and/or custom solutions developed to support specific business needs. Works closely with business analysts and/or key users, assessing business needs and determining and implementing information technology solutionsDesign, code, test and debug programs and implementation of customizations including pages, menus, workflow, self-service components, batch jobs, reports and queries for PeopleSoft HCM system and for special projects and interfaces; prepare final systems design and documentation necessary for programmingCode and test data interface PeopleSoft modules between internal and external systems using interface-appropriate communications tools like IB, application engine and SQR. Conducts code reviews of own and peer workAnalyze, research and repair program logic and systems; modify program logic; analyze service requests for PeopleSoft system changes or new requirements; assist peers in diagnosing program failuresAnalyze and respond to PeopleSoft service requests; determine the most cost-effective approach and the appropriate staff time required to achieve needed modifications; recommend appropriate solutions to meet user needs and project requirementsEnsure PeopleSoft program specifications are complete; produce basic components to ensure complete programming. Create PeopleSoft technical design specifications and develops unit test plans and documentation in support of complex programming workDevelop detailed PeopleSoft specifications necessary to support applications programming. Review, develop, and apply technical design specifications; provide regular and accurate reports including progress updates on assigned tasks; ensure program specifications are complete; produce basic components such as program overview, listing of files, related programs and sub-programs, charts and screen flow diagrams, to ensure complete programmingMaintain the operational integrity of the PeopleSoft production environment while applying application changes and upgradesEvaluate impacts of federal policy mandates on the existing PeopleSoft HCM application  Position Requirements: Bachelor’s Degree (IT related field) and 2 years of practical experience in requirements gathering, programming and coding; Associate Degree (IT related field) and 6 years of practical experience in requirements gathering, programming and codingTechnical design specifications and test plans for application modifications or customizationsExperience coding in PeopleSoft PeoplecodeKnowledge of PeopleTools, including Application Designer, Application Engine, PeopleCode, Application Packages, Application Messaging, Component Interfaces, Integration Broker, Workflow and QueryStructured query language (SQL) and troubleshooting data issuesComplex analysis and creative problem-solvingExperience with relational databases; Oracle preferredWork collaboratively in a team environment with a strong focus on customer service and solution ownershipCommunicate in a clear and concise manner and successfully work remotely with distributed teamsProcess information logically; to design programs and systems logically; to prepare program specifications; to code, test, and debug computer programs; to interpret technical information relating to computer programming and other areas of data processing; and to perform mathematical calculationsMust be US CitizenMust have active Public Trust ClearanceDemonstrate excellent written and verbal communication skills    Report this jobDice Id: OSTDCPosition Id: 7809677",2023-03-14T14:14:38.000Z,,,,,True
4,Junior Software Developer,Nigel Frank International,https://www.dice.com/jobs/detail/Junior-Software-Developer-Nigel-Frank-International-Arlington-VA-22201/10371697/cc3162023%26%2345606,"Junior Software DeveloperI am currently working with an IT consulting organization that is looking to bring on a Junior Dynamics 365 Software Developer since the company is urgently hiring for this role and are actively interviewing! They are looking for candidates with the following:Roles & Responsibilities Develop and support MS Dynamics 365 applicationsContribute to ongoing product developmentWorking on projects towards extending codes and CRM based productsSkills & QualificationsBachelor's degree; Preferably in Computer Science1 to 3 years of experience with Dynamics CRMBenefitsMedical, Dental, Vision401kTuition reimbursementIf you want to learn more about this role, please contact Claudia Carranza at  or send an email to  Nigel Frank International is the global leader for Microsoft Dynamics recruitment, advertising more Dynamics CRM jobs than any other agency. We deal with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Dynamics market I have built relationships with most of the key employers in North America and have an unrivaled understanding of where the best opportunities and Dynamics CRM jobs are.    I understand the need for discretion and would welcome the opportunity to speak to any Microsoft Dynamics CRM candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Microsoft Dynamics market and some of the opportunities and Dynamics CRM jobs that are available I can be contacted on  Please see  for more fantastic Microsoft Dynamics opportunities!    Nigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy.      Report this jobDice Id: 10371697Position Id: cc3162023-606",2023-03-17T12:10:45.000Z,Arlington,VA,Arlington,22201,False
5,Junior Application Developer,UVS Infotech,https://www.dice.com/jobs/detail/Junior-Application-Developer-UVS-Infotech-Laurel-MD-20707/10528526/SW%26%234510201,"UVS Infotech looking for talented and highly motivated Software Engineer to be the part of our Product Development and Managed Service Operations Practice for our Laurel MD Office.This is full time position ( No Travel Required) with flexibility to work remotely 1-2 Days per week.UVS is working on System Integrations, RPA, Blockchain, AI Driven Chat and Other Cutting Edge Technology. We are looking for Software Engineer who can leverage the Core Software Engineering concepts to develop and support the innovative solutions for our clients .RequirementsMicrosoft Azure Certification or Google Cloud Architect CertificationSharePoint Design and DevelopmentLearning Attitude and good listening skills are  the most important requirements of this position.Knowledge and experience of Business Intelligence Tools including Tableau and Power BI. Good Knowledge ,understanding and hands on development experience of Microsoft technology and Java  Stack.Hands On experience writing REST API's.Understanding of Continuous Integration and Source Code Control ProcessUse innovative analytical approaches to proactively solve a broad range of problems across technologies.Develop systems and design infrastructure necessary to support both business and technical integration needs.Generate and review technical documentation and provide feedback on system requirements and other key development and deployment activities.Reviews test results and evaluate for conformance to design.Should be able to develop the POC for our client quickly by exploring available cutting edge technologies.All other duties as assigned SKILLS:Hands Development experience using Microsoft and java technology stackHands on Experience Developing API' ( REST and SOAP)Understanding of DevOps pipeline and tools such as Bitbuckethands on experience on Angular and React frameworkAI, Robotic Process Automation, Chatbot experience a plusSharePoint and WCMS development experience is desirableMulti-tasking and Results-orientedExcellent writing skills for producing clean copyWork at a fast pace across multiple projects, while pivoting between strategy and tactical delivery.Ability to solve problems fast, while ensuring qualityAbility to work within cross functional team and handle multiple projects following agile methodology with short deadlines      Report this jobDice Id: 10528526Position Id: SW-10201",2020-10-08T16:15:44.000Z,Laurel,MD,Laurel,20707,False
6,Jr. Software Engineer- Embedded,"ConsultNet, LLC",https://www.dice.com/jobs/detail/Jr.-Software-Engineer%26%2345-Embedded-ConsultNet%2C-LLC-Hawthorne-CA-90250/cxcnetut/23%26%234500408,"
Job DescriptionJr. Software Engineer- Embedded Hawthorne, CA Direct Hire $80- $90K year  Immediate hire with growing company. Will be responsible for embedded systems and kernel development. Developing device drivers and embedded firmware. Application performance tuning, debugging, testing and supporting software releases. As a leading national provider of IT staffing and solutions, ConsultNet delivers exceptional services to startup, midmarket and Fortune 1000 companies across North America. Since 1996, we've partnered with clients to create rewarding opportunities for our consultants, successfully building teams that have surefire results.   In the past two years alone, we have placed more than 1,500 consultants in contract, contract-to-hire, or direct placement opportunities. We understand communication is key to finding the right job that matches your skills and career goals. For us, it's not just the work that we do; it's how we do the work. Our breadth of offerings extends to multiple IT positions in major markets throughout the country, see more at -
		",2023-03-03T22:22:19Z,['US'],['CA'],['Hawthorne'],['90250'],false
7,Junior Software Developer,Evoke Technologies,https://www.dice.com/jobs/detail/Junior-Software-Developer-Evoke-Technologies-Dallas-TX-75201/10124918/7676417,"Position: Junior Software Developer Location: Plano, TexasDuration: Fulltime – Permanent Evoke Technologies is currently seeking multiple entry level software developers.You will be assisting our delivery team in enhancing and supporting current client or internal projects.You will be hands on working with our practice in the Business Process Management (BPM) space.All of the work that will be performed will be performed under the supervision and guidance of a Senior Developer.Potential candidates must be willing to participate in our 6–8-week training program that takes place at our state-of-the-art IT facility in Hyderabad, India.With this being stated, all candidates must have a valid passport or obtain one within two weeks of start date. Must have excellent organizational skills, attention to detail, and the ability to prioritize in a changing environment.Must have excellent interpersonal skills through different forms of communication and be able to follow up accordingly.Proficiency in Microsoft Word, Excel, and Outlook required.Ability to learn new software systems.Strong verbal and written communication skillsAbility to work independent and as part of a team.Exposure to object-oriented programming Technical Skills We Are Looking For: Programming: Java, C#, C++, SQL, HTML5, CSSFrameworks: Spring Boot, Spring MVC, Hibernate, Restful Web ServicesDatabase: Microsoft Access, MySQL, MongoDB, SQLIDE: Visual Studio, Eclipse    Report this jobDice Id: 10124918Position Id: 7676417",2022-11-22T20:32:25.000Z,Dallas,TX,Dallas,75201,False
8,Jr. Software Engineer (TS/SCI),MAXAR Technologies,https://www.dice.com/jobs/detail/Jr.-Software-Engineer-%28TS%26%2347SCI%29-MAXAR-Technologies-Melbourne-FL-32901/91094828/R17919,"Please review the job details below.Maxar is seeking multiple Software Engineers of varying experience and seniority.On-Site work requiredLOCATION OPTIONS: Melbourne FL, Denver/ Westminster/Colorado Springs CO, Herndon/Chantilly VA, Ypsilanti MIREQUIRED: Active Top Secret security clearanceBenefits:Work-life balance to include flexible working opportunities and extremely generous time off.Family-first benefits like adoption reimbursement, pet insurance and mental health resources.Educational perks such as student loan repayment, paid certifications and tuition reimbursement.Career growth opportunities including an internal mobility program and leadership training and development.Diversified healthcare and investment options including multiple medical plans, an HSA and access to our concierge doctor as well as a competitive 401(k) plan.Maxar's products and services contribute to missions in support of national security, provide expertise used in the latest app technology, support efforts for the health and sustainability of our planet. Now is your chance to amplify your impact, working to solve the world's most pressing challenges.Minimum requirements:  Must be a US citizen with a current TS/SCI clearance.Bachelor's degree or higher in Computer Science or closely related STEM field.Experience developing software using a variety of languages.Experience with software engineering tools (i.e., Git/Subversion, IDE).Familiarity with the Agile development process and tools.Familiarity with Test Driven Design (TDD).Familiarity with Continuous Integration and Continuous Development pipelines (CI-CD Pipelines).Ability to work in a geographically dispersed, collaborative team environment.As an industry-leading earth observation satellite imagery provider, Maxar unlocks the promise of space to help governments and businesses solve problems on Earth and beyond. We monitor global change, deliver broadband communications and advance space operations with capabilities in Space Infrastructure and Earth Intelligence.You will work on an integrated team to build innovative software using mathematical solutions to support users in the defense and intelligence communities.Desired Additional Qualifications:Experience with formal software development methodologies (Agile)Experience writing software implementing algorithms#LI-CJ1Our salary ranges are market-driven and set to allow for flexibility. Individual pay will be competitive based on a candidate's unique set of knowledge, skills, and geographic diversity, with earnings potential commensurate with experience. The range for this position is: $55,000.00 - $93,000.00 annually.Maxar employees must follow all applicable Maxar policies and COVID-19 requirements as well as those of Maxar customers and third parties. Individual job requirements may vary, and Maxar reserves the right to modify its policies and requirements as it deems appropriate in accordance with applicable law. Maxar Technologies  values diversity in the workplace and is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.     Report this jobDice Id: 91094828Position Id: R17919",2023-02-17T21:03:00.000Z,Melbourne,FL,Melbourne,32901,False
9,JUNIOR SOFTWARE ENGINEER,Incedo Inc,https://www.dice.com/jobs/detail/JUNIOR-SOFTWARE-ENGINEER-Incedo-Inc-Irving-TX-75014/10476889/7792457,"
Associate Software Engineer -  ResponsibilitiesDesign, develop, test, deploy, maintain and improve product and platform software.Manage individual project priorities, deadlines and deliverables. Skills & QualificationsBachelor's in Computer Science, Engineering, Mathematics or any Technology/ Programming coursesMid-level programming skill in any one of the programming languages such as Java, Scala, C#, JavaScriptProficiency in a scripting language such as python or shell scripts is preferredFamiliar with Serverless development in any of the cloud stackMid-level proficiency in SQL ProgrammingFamiliar with version control and CI/CDStrong analytical, communication and interpersonal skillsInterested in configuring, maintaining, and enhancing current features and functionalities of the system 
",2023-03-01T17:28:38Z,['US'],['TX'],['Irving'],['75014'],false
